antecedents,consequents,support,confidence,lift
"The average time you spend playing games?=Low, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.020222446916076844,1.0,2.996969696969697
"The average time you spend playing games?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.030333670374115267,1.0,2.996969696969697
"The average time you spend playing games?=Moderate, When you go to sleep?=Healthy, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.011122345803842264,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=No, How many time you spend with family and friend?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.019211324570273004,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=No, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.019211324570273004,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=No, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.020222446916076844,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=Yes, How many time you spend with family and friend?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.010111223458038422,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.020222446916076844,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, How many time you spend with family and friend?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.022244691607684528,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, The average time you spend playing games?=Low, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.010111223458038422,1.0,2.996969696969697
"Do you attend your morning class regularly?=No, The average time you spend playing games?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.015166835187057633,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, Do you fill Fatigue?=No, How many time you spend with family and friend?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.015166835187057633,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, Do you fill Fatigue?=No, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.014155712841253791,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, Do you fill Fatigue?=Yes, How many time you spend with family and friend?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.01314459049544995,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, Do you fill Fatigue?=Yes, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.010111223458038422,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, Do you fill Fatigue?=Yes, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.01820020222446916,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.01314459049544995,1.0,2.996969696969697
