antecedents,consequents,support,confidence,lift
"Academic Pressure=Low , Dietary Habits=Healthy, Financial Stress=Low, Suicidal Thoughts=No",Depression=0,0.029578373727233615,0.9821428571428572,2.3697170044488387
"Academic Pressure=Low , CGPA (categorical)=High, Financial Stress=Low, Suicidal Thoughts=No, Work Study Hours=Low",Depression=0,0.011831349490893445,0.9821428571428571,2.3697170044488383
"Academic Pressure=High, Family History=Yes, Financial Stress=High, Sleep Duration=Very short, Suicidal Thoughts=Yes",Depression=1,0.017711171662125342,0.9821073558648111,1.6772555945249397
"Dietary Habits=Unhealthy, Financial Stress=High, Sleep Duration=Very short, Suicidal Thoughts=Yes, Work Study Hours=High",Depression=1,0.013659830775849705,0.9819587628865979,1.6770018255224706
"Academic Pressure=Low , CGPA (categorical)=Low, Dietary Habits=Moderate, Financial Stress=Low, Suicidal Thoughts=No",Depression=0,0.011544528897174817,0.9817073170731707,2.3686661321630518
"Academic Pressure=High, Family History=Yes, Financial Stress=High, Suicidal Thoughts=Yes",Depression=1,0.047110282518284814,0.9813293502613891,1.675926906532615
"Academic Pressure=High, Dietary Habits=Moderate, Financial Stress=High, Sleep Duration=Very short, Suicidal Thoughts=Yes",Depression=1,0.011293560877671017,0.9813084112149532,1.6758911465593604
"Academic Pressure=High, Dietary Habits=Moderate, Financial Stress=High, Suicidal Thoughts=Yes, Work Study Hours=High",Depression=1,0.015022228596013194,0.981264637002342,1.6758163883951338
"Academic Pressure=High, CGPA (categorical)=Average, Dietary Habits=Moderate, Financial Stress=High, Suicidal Thoughts=Yes",Depression=1,0.011257708303456189,0.9812500000000001,1.6757913911339704
"Academic Pressure=High, Financial Stress=High, Study Satisfaction=Low, Suicidal Thoughts=Yes",Depression=1,0.04560447440126201,0.9807247494217425,1.6748943614297847
"Academic Pressure=Low , CGPA (categorical)=Low, Financial Stress=Low, Suicidal Thoughts=No, Work Study Hours=Low",Depression=0,0.010755772264448587,0.9803921568627451,2.365492909966755
"Academic Pressure=High, Financial Stress=High, Sleep Duration=Very short, Study Satisfaction=Low, Suicidal Thoughts=Yes",Depression=1,0.01613365839667288,0.9803921568627451,1.6743263555728438
"Academic Pressure=Low , Family History=No, Financial Stress=Low, Suicidal Thoughts=No, Work Study Hours=Low",Depression=0,0.017603613939480855,0.9800399201596807,2.3646430322745515
"Academic Pressure=Low , Dietary Habits=Moderate, Financial Stress=Low, Study Satisfaction=High, Suicidal Thoughts=No",Depression=0,0.0175319087910512,0.9799599198396793,2.364450007280998
"Academic Pressure=High, Dietary Habits=Unhealthy, Financial Stress=High, Study Satisfaction=High, Suicidal Thoughts=Yes",Depression=1,0.01383909364692385,0.9796954314720813,1.673136478974975
"Academic Pressure=Low , Financial Stress=Low, Suicidal Thoughts=No, Work Study Hours=Low",Depression=0,0.032769252832353366,0.979635584137192,2.3636674492002214
"Academic Pressure=High, Dietary Habits=Unhealthy, Family History=Yes, Study Satisfaction=Low, Suicidal Thoughts=Yes, Work Study Hours=High",Depression=1,0.015273196615516994,0.9793103448275862,1.6724788230425567
"Academic Pressure=High, Dietary Habits=Unhealthy, Family History=Yes, Financial Stress=High, Work Study Hours=High",Depression=1,0.013516420478990392,0.9792207792207793,1.6723258617454064
